Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC

"HCS-301-rolling-code-rx","","BRD1","HC301-module","HCS-301-rolling-code-rx","1",""
"CL10A105KB8NNNC","CAP CER 1UF 50V X5R 0603","C1, C6, C7, C13, C21, C22, C24, C25, C26, C27, C28, C29, C30, C32","FP-CL10B105KO8NNNC-IPC_B","CMP-2000-06093-2","14","C15849"
"GRM32ER71J106KA12L","CAP CER 10UF 63V X7R 1210","C2, C3, C4, C5, C8, C9, C10, C11, C14, C15, C16, C17, C18, C35, C36, C37","FP-GRM32E-0_2-0_3-MFG","CMP-2000-07458-2","16","C437568"
"CL10B104KC8NNNC","Cap Ceramic 100nF 100V X7R ±10% Pad SMD 0603 +125°C T/R","C12, C19, C23","FP-CL10-IPC_A","CMP-13271-004036-1","3",""
"AC0603KRX7R0BB473","CAP CER 0.047UF 100V X7R 0603","C20, C38","FP-AC0603-IPC_B","CMP-03422-001184-1","2","C469624"
"CL31A226KPHNNNE","Cap Ceramic 22uF 10V X5R ±10% SMD 1206","C31","FP-CL31-IPC_B","CMP-13271-002604-1","1","C5672"
"XKB U262-161N-4BVC11","USB Type-C connector, USB-2.0, 16 pins","CN1","XKB U262-161N-4BVC11","XKB U262-161N-4BVC11","1","C319148"
"MAX MX15EDGVM-3.81-16P-GN01-Cu-A","Board connector for 16 pin pluggable screw terminal","CN2","MAX MX15EDGVM-3.81-16P-GN01-Cu-A","MAX MX15EDGVM-3.81-16P-GN01-Cu-A","1","C5188240"
"CP2102 USB-A-to-UART adapter connector","","CN3","CP2102 USB-A-to-UART adapter connector","CP2102 USB-A-to-UART adapter connector","1",""
"LXES15AAA1-133","TVS DIODE 15V 1005","D1, D2, D3, D7, D8, D9, D12, D13","FP-LXES15-IPC_A","CMP-06195-000011-1","8","C191267"
"B1100-13-F","Schottky Barrier Rectifier, 100 V, 1 A, -65 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel","D4, D6","DIOD-SMA-2_V","CMP-2000-05882-1","2","C110106"
"SK1010C","DIODE SCHOTTKY 100V 10A SMC","D5","FP-SMC-MFG","CMP-2000-05097-3","1","C3018527"
"KT-0805G","KT-0805G LED Green","D10","LED_0805","LED Green","1","C2297"
"KT-0805Y","LED Yellow KT-0805Y","D11","LED_0805","LED Blue","1","C2296"
"0458005.DR","FUSE BOARD MOUNT 5A 75VDC 1206","F1","FP-0469-IPC_B","CMP-08605-000100-1","1","C187561"
"SolderJumperV2","","J1, J2, J3, J4, J5, J6","AislerRule_SolderJumper_1mm","SolderJumperV2","6",""
"CYA0630-10UH","SMD Power inductio, 10uH 4A","L1","CYA0630-10UH","PowerInductor","1","C5189958"
"HYG053N10NS1C2","100V 95A 4.6mOhm N-channel mosfet","Q1, Q2, Q3, Q4, Q5, Q6, Q7","PDFN5*6-8L","HYG053N10NS1C2","7",""
"BM3402","BORN BM3402 MOSFET N-CH 30V 5.1A SOT23","Q8","FP-SOT23-IPC_B","CMP-83955-000006-1","1","C431498"
"DNP","RES SMD 47K OHM 1% 1/10W 0603","R1, R24","FP-RC0603FR-0747KL-MFG","CMP-1659-00055-2","2","C105579"
"0603WAF5101T5E","","R2, R3, R11, R12, R13, R15, R16, R17, R19, R20, R28, R29, R36, R37","RESC1608X55X30NL15T15","CMP-2000-00540-1","14","C23186"
"RC0603FR-0747KL","RES SMD 47K OHM 1% 1/10W 0603","R4, R5, R7, R9, R18, R25, R26, R27, R30, R31, R32, R33, R34, R35","FP-RC0603FR-0747KL-MFG","CMP-1659-00055-2","14","C105579"
"LR2512D-3W-3mR-1%","2512 3mohm shunt","R6, R10, R14","FPR_CRF2512_R0","R","3","C500737"
"0603WAF2203T5E","","R8","RESC1608X55X30NL15T15","CMP-2000-00540-1","1","C22961"
"0R","0R resistor","R21, R22, R23","FPR_0603_R_R0","R","3",""
"TS-1187A-B-A-B","XKB TS-1187A-B-A-B C318884","SW1, SW2","ESWI-TL3342F160QG_V","CMP-1696-00003-1","2","C318884"
"test point 1.5mm","Test point ,1.5mm diameter, no hole","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36","TP1_FULL","Test Point","36",""
"DRV8323RHRGZT","IC MTR DRV MULTIPHAS 6-60V 48QFN","U1","FP-RGZ0048A-IPC_A","CMP-04912-000089-1","1",""
"AP7365-33EG-13","IC REG LIN 3.3V 600MA SOT223-3","U2","FP-SOT223-IPC_C","CMP-12756-000040-1","1",""
"MCP1402T-E/OT","Tiny 500 mA, High-Speed Power MOSFET Driver, Non Inverting, Extended Temperature, Tape and Reel","U3","SOT-23-OT5_L","CMP-0137-00408-1","1","C128573"
"ESP32-S3-WROOM-1-N8R2","WiFi 802.11a/b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz Antenna Not Included -","U4","XCVR_ESP32-S3-WROOM-1-N8R2","ESP32-S3-WROOM-1-N8R2","1",""
